Indent number,x-coord,y-coord,Load,Hardness
767,6370,7970,300,184
768,6370,8240,300,171
769,6640,-260,300,153
770,6640,10,300,177
771,6640,270,300,180
772,6640,540,300,168
773,6640,800,300,194
774,6640,1070,300,207
775,6640,1340,300,189
776,6640,1600,300,174
777,6640,1860,300,164
778,6640,2130,300,158
779,6640,2400,300,167
780,6640,2660,300,160
781,6640,2930,300,163
782,6640,3190,300,156
783,6640,3460,300,159
784,6640,3720,300,157
785,6640,3990,300,158
786,6640,4250,300,159
787,6640,4520,300,158
788,6640,4790,300,156
789,6640,5050,300,158
790,6640,5320,300,151
791,6640,5580,300,156
792,6640,5850,300,167
793,6640,6110,300,163
794,6640,6380,300,162
795,6640,6640,300,163
796,6640,6910,300,166
797,6640,7170,300,163
798,6640,7440,300,169
799,6640,7700,300,168
800,6640,7970,300,177
801,6640,8240,300,160
802,6900,-520,300,162
803,6900,-260,300,161
804,6900,10,300,189
805,6900,270,300,176
806,6900,540,300,174
807,6900,800,300,211
808,6900,1070,300,166
809,6900,1330,300,165
810,6900,1600,300,173
811,6900,1860,300,167
812,6900,2130,300,165
813,6900,2400,300,164
814,6900,2660,300,169
815,6900,2930,300,167
816,6900,3190,300,159
817,6900,3460,300,150
818,6900,3720,300,156
819,6900,3990,300,161
820,6900,4250,300,155
821,6900,4520,300,171
822,6900,4780,300,166
823,6900,5050,300,166
824,6900,5320,300,170
825,6900,5580,300,163
826,6900,5850,300,162
827,6900,6110,300,164
828,6900,6380,300,163
829,6900,6640,300,158
830,6900,6910,300,155
831,6900,7170,300,165
832,6900,7440,300,168
833,6900,7700,300,175
834,6900,7970,300,173
835,6900,8240,300,161
836,7170,-790,300,150
837,7170,-520,300,160
838,7170,-260,300,145
839,7170,10,300,187
840,7170,270,300,181
841,7170,540,300,187
842,7170,800,300,178
843,7170,1070,300,163
844,7170,1330,300,164
845,7170,1600,300,169
846,7170,1870,300,165
847,7170,2130,300,168
848,7170,2400,300,173
849,7170,2660,300,172
850,7170,2930,300,165
851,7170,3190,300,169
852,7170,3460,300,157
853,7170,3720,300,158
854,7170,3990,300,161
855,7170,4250,300,158
856,7170,4520,300,156
857,7170,4780,300,162
858,7170,5050,300,167
859,7170,5320,300,158
860,7170,5580,300,162
861,7170,5850,300,166
862,7170,6110,300,157
863,7170,6380,300,169
864,7170,6640,300,156
865,7170,6910,300,168
866,7170,7170,300,158
867,7170,7440,300,167
868,7170,7700,300,163
869,7170,7970,300,169
870,7170,8240,300,165
871,7430,-790,300,163
872,7430,-520,300,161
873,7430,-260,300,167
874,7430,10,300,182
875,7430,270,300,183
876,7430,540,300,179
877,7430,800,300,178
878,7430,1070,300,173
879,7430,1330,300,175
880,7430,1600,300,168
881,7430,1870,300,167
882,7430,2130,300,171
883,7430,2400,300,169
884,7430,2660,300,168
885,7430,2930,300,170
886,7430,3190,300,168
887,7430,3460,300,172
888,7430,3720,300,166
889,7430,3990,300,172
890,7430,4250,300,163
891,7430,4520,300,161
892,7430,4780,300,164
893,7430,5050,300,167
894,7430,5320,300,167
895,7430,5580,300,158
896,7430,5850,300,167
897,7430,6110,300,163
898,7430,6380,300,158
899,7430,6640,300,167
900,7430,6910,300,159
901,7430,7170,300,158
902,7430,7440,300,172
903,7430,7710,300,181
904,7430,7970,300,170
905,7430,8240,300,168
906,7700,-1060,300,162
907,7700,-790,300,175
908,7700,-530,300,154
909,7700,-260,300,168
910,7700,10,300,155
911,7700,270,300,206
912,7700,540,300,190
913,7700,800,300,178
914,7700,1070,300,177
915,7700,1330,300,169
916,7700,1600,300,167
917,7700,1860,300,170
918,7700,2130,300,171
919,7700,2400,300,167
920,7700,2660,300,169
921,7700,2930,300,173
922,7700,3190,300,170
923,7700,3460,300,167
924,7700,3720,300,167
925,7700,3990,300,172
926,7700,4250,300,173
927,7700,4520,300,167
928,7700,4790,300,169
929,7700,5050,300,164
930,7700,5320,300,164
931,7700,5580,300,165
932,7700,5850,300,167
933,7700,6110,300,160
934,7700,6380,300,160
935,7700,6640,300,171
936,7700,6910,300,168
937,7700,7170,300,164
938,7700,7440,300,163
939,7700,7700,300,164
940,7700,7970,300,164
941,7700,8240,300,172
942,7960,-1060,300,174
943,7960,-790,300,174
944,7960,-260,300,167
945,7960,800,300,179
946,7960,1330,300,171
947,7960,1860,300,170
948,7960,2130,300,172
949,7960,2660,300,163
950,7960,2930,300,170
951,7960,3190,300,164
952,7960,3460,300,168
953,7960,3720,300,172
954,7960,3990,300,169
955,7960,4250,300,168
956,7960,4520,300,168
957,7960,4790,300,168
958,7960,5320,300,163
959,7960,5580,300,168
960,7960,5850,300,169
961,7960,6110,300,161
962,7960,6380,300,172
963,7960,6640,300,163
964,7960,6910,300,167
965,7960,7170,300,174
966,7960,7440,300,169
967,7960,7710,300,165
968,7960,7970,300,170
969,7960,8240,300,170
970,7970,-520,300,169
971,7970,10,300,167
972,7970,270,300,176
973,7970,540,300,191
974,7970,1070,300,182
975,7970,1600,300,171
976,7970,2400,300,171
977,7970,5050,300,161
978,8230,-1320,300,168
979,8230,-1050,300,173
980,8230,-790,300,163
981,8230,-520,300,168
982,8230,-260,300,166
983,8230,10,300,154
984,8230,270,300,160
985,8230,540,300,167
986,8230,800,300,174
987,8230,1070,300,189
988,8230,1330,300,179
989,8230,1600,300,169
990,8230,1870,300,170
991,8230,2130,300,169
992,8230,2400,300,168
993,8230,2660,300,169
994,8230,2930,300,167
995,8230,3190,300,169
996,8230,3460,300,167
997,8230,3720,300,168
998,8230,3990,300,164
999,8230,4250,300,180
1000,8230,4520,300,166
1001,8230,4790,300,168
1002,8230,5050,300,168
1003,8230,5320,300,170
1004,8230,5580,300,164
1005,8230,5850,300,159
1006,8230,6110,300,168
1007,8230,6380,300,168
1008,8230,6640,300,162
1009,8230,6910,300,165
1010,8230,7170,300,169
1011,8230,7440,300,172
1012,8230,7710,300,166
1013,8230,7970,300,167
1014,8230,8240,300,169
1015,8490,-260,300,164
1016,8490,1330,300,178
1017,8500,-1850,300,168
1018,8500,-1590,300,171
1019,8500,-1320,300,174
1020,8500,-1060,300,155
1021,8500,-790,300,167
1022,8500,-520,300,167
1023,8500,10,300,161
1024,8500,270,300,159
1025,8500,540,300,162
1026,8500,800,300,165
1027,8500,1070,300,155
1028,8500,1600,300,170
1029,8500,1870,300,176
1030,8500,2130,300,169
1031,8500,2400,300,171
1032,8500,2660,300,168
1033,8500,2930,300,162
1034,8500,3190,300,170
1035,8500,3460,300,167
1036,8500,3720,300,171
1037,8500,3990,300,161
1038,8500,4250,300,168
1039,8500,4520,300,169
1040,8500,4790,300,166
1041,8500,5050,300,174
1042,8500,5320,300,175
1043,8500,5580,300,168
1044,8500,5850,300,165
1045,8500,6110,300,169
1046,8500,6380,300,166
1047,8500,6640,300,158
1048,8500,6910,300,162
1049,8500,7170,300,169
1050,8500,7440,300,163
1051,8500,7710,300,165
1052,8500,7970,300,167
